Field ID,UTYPE,UCD,Description,FITS,CSV,DataType,ArraySize,Unit,SsapUnit,Hint,Default
,,,,,,,,,,,
,Query,,Query Metadata,,,,,,,Q,
TimeResolution,Spectrum.Char.TimeAxis.Resolution,time.resolution,,TIME_RES,,double,,,s,q
,,,,,,,,,,
,Char.FluxAxis,,Flux Axis Characterization,,,,,,,
FluxAxisName,Spectrum.Char.FluxAxis.Name,,Name for flux,,,char,*,,,
FluxAxisUcd,Spectrum.Char.FluxAxis.Ucd,,UCD for flux,,,char,*,,,q
FluxAxisUnit,Spectrum.Char.FluxAxis.Unit,,Unit for flux,,,char,*,,,
FluxStatError,Spectrum.Char.FluxAxis.Accuracy.StatError,stat.error;phot.flux.density;em,Flux statistical error,STAT_ERR,,double,,,,q
FluxSysError,Spectrum.Char.FluxAxis.Accuracy.SysError,stat.error.sys;phot.flux.density;em,Flux systematic error,SYS_ERR,,double,,,,q
FluxCalibration,Spectrum.Char.FluxAxis.Calibration,,Type of flux calibration,FLUX_CAL,,char,*,,,q
,,,,,,,,,,
,Data.SpectralAxis,,Spectral Axis Data,,,,,,,
DataSpectralValue,Spectrum.Data.SpectralAxis.Value,,Spectral coordinates for points,WAVE ENER FREQ,1;@ID,double,,,,
DataSpectralUcd,Spectrum.Data.SpectralAxis.Ucd,,UCD for spectral coord,,,char,*,,,p
DataSpectralUnit,Spectrum.Data.SpectralAxis.Unit,,Unit for spectral coord,,,char,*,,,p
DataSpectralBinSize,Spectrum.Data.SpectralAxis.Accuracy.BinSize,em;spect.binSize,Spectral coord bin size,WAVE_BIN ENER_BIN FREQ_BIN,,double,,,,
DataSpectralBinLow,Spectrum.Data.SpectralAxis.Accuracy.BinLow,em;stat.min,Spectral coord bin lower end,WAVE_LO ENER_LO FREQ_LO,,double,,,,
DataSpectralBinHigh,Spectrum.Data.SpectralAxis.Accuracy.BinHigh,em;stat.max,Spectral coord bin upper end,WAVE_HI ENER_HI FREQ_HI,,double,,,,
DataSpectralStatError,Spectrum.Data.SpectralAxis.Accuracy.StatError,em;stat.error,Spectral coord measurement error,WAVE_ERR ENER_ERR FREQ_ERR,3;@ID,double,,,,
DataSpectralStatErrLow,Spectrum.Data.SpectralAxis.Accuracy.StatErrLow,em;stat.error;stat.min,Spectral coord measurement lower error,WAVE_ELO ENER_ELO FREQ_ELO,,double,,,,
DataSpectralStatErrHigh,Spectrum.Data.SpectralAxis.Accuracy.StatErrHigh,em;stat.error;stat.max,Spectral coord measurement upper error,WAVE_EHI ENER_EHI FREQ_EHI,,double,,,,
DataSpectralSysError,Spectrum.Data.SpectralAxis.Accuracy.SysError,em;stat.error,Spectral coord systematic error,WAVE_SYE ENER_SYE FREQ_SYE,,double,,,,
DataSpectralResolution,Spectrum.Data.SpectralAxis.Resolution,spect.resolution,Spectral resolution FWHM,WAVE_RES ENER_RES FREQ_RES,,double,,,,

,Data.FluxAxis,,Flux Axis Data,,,,,,,
DataFluxValue,Spectrum.Data.FluxAxis.Value,,Flux values for points,FLUX,2;@ID,double,,,,
DataFluxUcd,Spectrum.Data.FluxAxis.Ucd,,UCD for flux,,,char,*,,,p
DataFluxUnit,Spectrum.Data.FluxAxis.Unit,,Unit for flux,,,char,*,,,p
DataFluxStatError,Spectrum.Data.FluxAxis.Accuracy.StatError,phot.flux.density;em;stat.error,Flux symmetric statistical error,ERR,,double,,,,
DataFluxStatErrLow,Spectrum.Data.FluxAxis.Accuracy.StatErrLow,phot.flux.density;em;stat.error;stat.min,Flux lower error,ERR_LO,,double,,,,
DataFluxStatErrHigh,Spectrum.Data.FluxAxis.Accuracy.StatErrHigh,phot.flux.density;em;stat.error;stat.max,Flux upper error,ERR_HI,,double,,,,
DataFluxSysError,Spectrum.Data.FluxAxis.Accuracy.SysError,phot.flux.density;em;stat.error.sys,Flux systematic error,SYS_ERR,,double,,,,
DataFluxQuality,Spectrum.Data.FluxAxis.Quality,meta.code.qual;phot.flux.density;em,Flux measurement quality mask,QUALITY,4;@ID,long,,,,
DataFluxQualityDesc,Spectrum.Data.FluxAxis.Quality.n,,Meaning of quality value,,,char,*,,,p

,Data.TimeAxis,,Time Axis Data,,,,,,,
DataTimeValue,Spectrum.Data.TimeAxis.Value,,Time coordinates for points,TIME,,double,,,,
DataTimeUcd,Spectrum.Data.TimeAxis.Ucd,,UCD for time,,,char,*,,,p
DataTimeUnit,Spectrum.Data.TimeAxis.Unit,,Unit for time,,,char,*,,,p
DataTimeBinSize,Spectrum.Data.TimeAxis.Accuracy.BinSize,time.interval,Time bin size,,,double,,,,
DataTimeBinLow,Spectrum.Data.TimeAxis.Accuracy.BinLow,time;stat.min,Time bin start,TIME_LO,,double,,,,
DataTimeBinHigh,Spectrum.Data.TimeAxis.Accuracy.BinHigh,time;stat.max,Time bin stop,TIME_HI,,double,,,,
DataTimeStatError,Spectrum.Data.TimeAxis.Accuracy.StatError,time;stat.error,Time coord measurement statistical error,TIME_ERR,,double,,,,
DataTimeStatErrLow,Spectrum.Data.TimeAxis.Accuracy.StatErrLow,time;stat.error;stat.min,Time coord measurement lower error,TIME_ELO,,double,,,,
DataTimeStatErrHigh,Spectrum.Data.TimeAxis.Accuracy.StatErrHigh,time;stat.error;stat.max,Time coord measurement upper error,TIME_EHI,,double,,,,
DataTimeSysError,Spectrum.Data.TimeAxis.Accuracy.SysError,time;stat.error.sys,Time coord measurement systematic error,TIME_SYE,,double,,,,
DataTimeResolution,Spectrum.Data.TimeAxis.Resolution,time.resolution,Temporal resolution FWHM,TIME_RES,,double,,,,

,Data.BackgroundModel,,Background Model Data,,,,,,,
DataBkgModelValue,Spectrum.Data.BackgroundModel.Value,,Flux values for points,BGFLUX,,double,,,,
DataBkgModelUcd,Spectrum.Data.BackgroundModel.Ucd,,UCD for background flux,,,char,*,,,p
DataBkgModelUnit,Spectrum.Data.BackgroundModel.Unit,,Unit for background flux,,,char,*,,,p
DataBkgModelStatError,Spectrum.Data.BackgroundModel.Accuracy.StatError,phot.flux.density;em;stat.error,Background model symmetric error,,,double,,,,
DataBkgModelStatErrLow,Spectrum.Data.BackgroundModel.Accuracy.StatErrLow,phot.flux.density;em;stat.error;stat.min,Background model lower error,BG_ELO,,double,,,,
DataBkgModelStatErrHigh,Spectrum.Data.BackgroundModel.Accuracy.StatErrHigh,phot.flux.density;em;stat.error;stat.max,Background model upper error,BG_EHI,,double,,,,
DataBkgModelSysError,Spectrum.Data.BackgroundModel.Accuracy.SysError,phot.flux.density;em;stat.error.sys,Background model systematic error,BG_SYE,,double
DataBkgModelQuality,Spectrum.Data.BackgroundModel.Quality,meta.code.qual;phot.flux.density;em,Background model quality mask,BGQUAL,,long
